DATE,OCCounter,FairCounter,PendingCounter
2024-01-29 04:19:58,168736,93658,537
2024-01-29 06:22:08,168736,93658,537
2024-01-29 08:20:48,168736,93658,537
2024-01-29 10:18:27,168736,93658,537
2024-01-29 12:31:21,168736,93658,537
2024-01-29 14:15:49,168736,93658,537
2024-01-29 16:20:45,168736,93658,537
2024-01-29 18:21:05,168776,93676,537
2024-01-29 20:18:09,168776,93676,537
2024-01-29 22:17:15,168776,93676,537
2024-01-30 01:13:58,168776,93676,537
2024-01-30 02:21:46,168776,93676,537
2024-01-30 04:19:26,168776,93676,537
2024-01-30 06:22:20,168776,93676,537
2024-01-30 08:20:31,168776,93676,537
2024-01-30 10:19:21,168776,93676,537
2024-01-30 12:30:43,168776,93676,537
2024-01-30 14:15:46,168776,93676,537
2024-01-30 16:21:15,168776,93676,537
2024-01-30 18:21:21,168824,93696,537
2024-01-30 20:16:56,168824,93696,537
2024-01-30 22:16:00,168824,93696,537
2024-01-31 01:14:39,168824,93696,537
2024-01-31 02:22:12,168824,93696,537
2024-01-31 04:20:24,168824,93696,537
2024-01-31 06:21:51,168824,93696,537
2024-01-31 08:20:18,168824,93696,537
2024-01-31 10:18:09,168824,93696,537
2024-01-31 12:31:14,168824,93696,537
2024-01-31 14:15:24,168824,93696,537
2024-01-31 16:20:08,168824,93696,537
2024-01-31 18:16:55,168824,93696,537
2024-01-31 20:17:08,168824,93696,537
2024-01-31 22:17:10,168824,93696,537
2024-02-01 01:18:09,168824,93696,537
2024-02-01 02:26:02,168824,93696,537
2024-02-01 04:21:41,168824,93696,537
2024-02-01 06:22:47,168824,93696,537
2024-02-01 08:20:55,168824,93696,537
2024-02-01 10:18:58,168824,93696,537
2024-02-01 12:31:15,168824,93696,537
2024-02-01 14:16:13,168824,93696,537
2024-02-01 16:21:31,168824,93696,537
2024-02-01 18:20:41,168925,93736,539
2024-02-01 20:17:18,168925,93736,539
2024-02-01 22:16:46,168925,93736,539
2024-02-02 01:14:05,168925,93736,539
2024-02-02 02:21:50,168925,93736,539
2024-02-02 04:21:06,168925,93736,539
2024-02-02 06:21:16,168925,93736,539
2024-02-02 08:20:59,168925,93736,539
2024-02-02 10:18:23,168925,93736,539
2024-02-02 12:30:34,168925,93736,539
2024-02-02 14:15:46,168925,93736,539
2024-02-02 16:19:46,168925,93736,539
2024-02-02 18:21:52,168982,93750,539
2024-02-02 20:16:55,168982,93750,539
2024-02-02 22:15:51,168982,93750,539
2024-02-03 01:12:31,168982,93750,539
2024-02-03 02:19:27,168982,93750,539
2024-02-03 04:18:59,168982,93750,539
2024-02-03 06:20:02,168982,93750,539
2024-02-03 08:19:46,168982,93750,539
2024-02-03 10:16:24,168982,93750,539
2024-02-03 12:29:11,168982,93750,539
2024-02-03 14:14:02,168982,93750,539
2024-02-03 16:20:52,168982,93750,539
2024-02-03 18:20:12,169047,93751,539
2024-02-03 20:17:48,169047,93751,539
2024-02-03 22:16:59,169047,93751,539
2024-02-04 01:18:50,169047,93751,539
2024-02-04 02:25:06,169047,93751,539
2024-02-04 04:19:04,169047,93751,539
2024-02-04 06:20:14,169047,93751,539
2024-02-04 08:19:53,169047,93751,539
2024-02-04 10:17:22,169047,93751,539
2024-02-04 12:28:47,169047,93751,539
2024-02-04 14:14:11,169047,93751,539
2024-02-04 16:19:48,169047,93751,539
2024-02-04 18:21:47,169105,93767,539
2024-02-04 20:16:34,169105,93767,539
2024-02-04 22:15:39,169105,93767,539
2024-02-05 01:16:07,169105,93767,539
2024-02-05 02:28:43,169105,93767,539
2024-02-05 04:21:42,169105,93767,539
2024-02-05 06:22:13,169105,93767,539
2024-02-05 08:21:28,169105,93767,539
2024-02-05 10:20:32,169105,93767,539
2024-02-05 12:31:30,169105,93767,539
2024-02-05 14:15:57,169105,93767,539
2024-02-05 16:20:46,169105,93767,539
2024-02-05 18:22:58,169147,93777,540
2024-02-05 20:18:16,169147,93777,540
2024-02-05 22:18:03,169147,93777,540
2024-02-06 01:13:51,169147,93777,540
2024-02-06 02:21:44,169147,93777,540
2024-02-06 04:19:27,169147,93777,540
2024-02-06 06:21:44,169147,93777,540
2024-02-06 08:21:20,169147,93777,540
2024-02-06 10:18:41,169147,93777,540
2024-02-06 12:31:36,169147,93777,540
2024-02-06 14:16:19,169147,93777,540
2024-02-06 16:21:30,169147,93777,540
2024-02-06 18:19:16,169207,93783,539
2024-02-06 20:17:36,169207,93783,539
2024-02-06 22:15:43,169207,93783,539
2024-02-07 01:12:09,169207,93783,539
2024-02-07 02:21:14,169207,93783,539
2024-02-07 04:20:21,169207,93783,539
2024-02-07 06:21:27,169207,93783,539
2024-02-07 08:20:24,169207,93783,539
